sn,e,n,z,rem
396,918.469,987.255,1306.372,E
397,919.879,982.944,1307.134,E
398,919.980,978.991,1307.405,E
399,921.353,976.979,1308.069,E
400,920.066,990.027,1305.012,E
401,923.356,987.742,1305.246,E
402,926.106,985.546,1306.107,E
403,929.342,983.621,1306.614,E
404,932.632,981.105,1307.654,E
405,920.056,992.136,1304.056,E
406,926.098,990.322,1304.128,E
407,931.123,988.130,1304.916,E
408,935.727,987.103,1306.563,E
409,940.954,984.647,1306.896,E
410,919.640,993.353,1303.833,E
411,926.170,992.662,1303.812,E
412,932.439,992.361,1304.361,E
413,939.452,993.565,1304.873,E
414,944.971,994.298,1304.761,E
415,950.985,993.889,1304.773,E
416,920.438,994.522,1304.007,E
417,925.232,997.590,1302.868,E
418,929.225,999.660,1302.335,E
419,932.794,1002.364,1301.833,E
420,936.220,1005.548,1301.853,E
421,938.571,1007.963,1301.312,E
422,943.576,1011.153,1300.504,E
423,965.548,948.783,1306.863,E
424,960.210,953.516,1305.146,E
800,1015.340,1058.157,1299.000,RANDOM
801,1026.139,1049.884,1295.300,RANDOM
802,1034.850,1039.027,1298.970,RANDOM
803,1040.082,1041.290,1299.300,RANDOM
804,1045.524,1041.835,1301.000,RANDOM
805,1019.867,1046.534,1296.700,RANDOM
806,1013.450,1040.694,1297.200,RANDOM
807,1010.322,1031.306,1297.019,RANDOM
